"","name","propDead","leafForm","leafThickness","leafWidth","leafLength","leaf_N","leaf_P","leafDensity","leafSeparation","stemOrder","ignitionTemp","moisture","G.C_rat","C.C_rat"
"1","Acacia obliquinervia",0,"Flat",0.000284,0.04,0.17,20.45,0.905,0.0604254705141267,0.0143333333333333,4,260,1.57,0.5,0.1
"2","Coprosma hirtella",0,"Flat",0.0006745,0.0209,0.0341,19.403,1.3595,0.01664375,0.00714285714285714,5.2,260,2.269,1,0.01
"3","Daviesia latifolia",0,"Flat",0.000388,0.023,0.06,18.45714286,0.611678983,0.475030542148164,0.0192,3,260,2.525,0.7,0.1
"4","Daviesia ulicifolia",0,"Flat",0.000183,0.002,0.013,16.20521165,0.326871861,0.0469878472222222,0.00454545454545455,4,260,1.0505,1,0.1
"5","Dianella tasmanica",0,"Flat",0.000441875,0.006375,0.15,11.22448463625,0.4,0.3994,0.153,1,260,2,0,1
"6","Eucalyptus dalrympleana",0,"Flat",0.0004125,0.0205,0.134,12.6,0.9,0.10304146838271,0.0183388708869852,5,220,1,0.335365853658537,0.3
"7","Eucalyptus delegatensis",0,"Flat",0.000374,0.0297,0.1316,1.15,0.0898,0.599546752637054,0.0248387096774194,5.4,220,1.015,0.33,0.111159420289855
"8","Eucalyptus pauciflora",0,"Flat",0.00049,0.0267,0.0679,1.2,0.069,0.648382527997167,0.0106,5,220,1.12925,2,0.2
"9","Poa helmsii",0,"Flat",0.0001886,0.007,0.0475,16.0781447475,1.77553658,0.1923312,0.0035,1,349.68263485237,1,0,1
"10","Poa phillipsiana",0,"Flat",0.000173,5e-04,0.15,16.0781447475,1.77553658,0.1923312,0.0044,1,349.68263485237,1,0,1
"11","Poa sieberiana",0,"Flat",0.0001595,0.001275,0.15,16.0781447475,1.77553658,0.1923312,0.0087,1,349.68263485237,1,0,1
"12","Polyscias sambucifolia",0,"Flat",0.00032,0.04,0.09,12.6,0.604,0.3,0.0351666666666667,2.5,260,1.607,5,0.1
"13","Polystichum proliferum",0.2,"Flat",0.00024,0.005,0.0113,16.8055,1.9385,0.0113,0.0033,2,347,1,0.285714285714286,0.1
"14","Veronica derwentiana",0,"Flat",2e-04,0.026,0.0975,NA,NA,0.0327962962962963,0.01,1,260,2,1,0.05
